r,m,n_eq
27,4,5
189,2,3
27,2,2
1701,3,4
1,1,2
81,3,3
1029,7,6
3,0,2
3,2,1
3,0,2
3,0,3
63,3,5
49,2,3
567,2,5
9,1,2
189,1,5
81,2,3
49,1,4
1323,1,6
9,0,2
49,1,4
1323,3,6
81,1,3
2187,1,6
2187,2,3
7,1,3
9,1,3
3,0,1
81,3,3
81,3,4
27,5,5
1,3,3
81,4,4
3,2,3
9,2,4
1,0,1
9,1,2
81,2,3
9,1,3
321489,2,5
9,6,6
189,2,4
243,0,4
27,2,4
27,2,3
9,3,3
1,0,2
76545,6,7
243,1,3
567,2,5
63,1,4
2187,0,4
81,2,4
567,3,5
27,2,4
9,2,4
15,1,4
27,2,3
9,0,2
243,1,5
27,5,4
1701,3,6
441,2,5
1,1,1
9,2,3
9,2,3
243,3,5
441,4,6
27,1,2
21,3,4
567,2,4
27,3,4
1,0,0
189,1,2
567,2,3
729,3,6
81,1,4
63,3,5
27,2,2
729,2,4
27,3,4
81,2,4
243,0,6
27,2,3
189,6,4
81,2,4
63,3,4
535815,5,7
194481,6,5
3,0,3
3,3,2
1,0,1
2835,5,6
27,1,3
567,5,5
1701,1,5
729,2,5
3,0,3
3,1,2
729,1,4
81,2,4
243,3,4
9,1,1
5103,2,6
27,1,5
9,2,3
27,1,3
189,2,5
63,4,3
567,4,6
81,1,3
3,1,2
1323,1,6
1,1,1
9,1,2
189,1,4
3,1,3
27,0,3
1,2,1
9,2,4
9,0,2
9,2,2
1,1,2
27,3,4
189,2,2
3,2,2
81,3,3
243,4,4
27,2,2
9,1,3
243,3,4
3,0,1
4084101,4,6
567,1,5
27,0,3
9,3,4
27,4,3
81,1,4
243,0,3
81,3,4
1,1,1
1,0,1
81,5,4
1,2,3
1,0,3
3,0,1
3,1,3
1,0,1
1,1,1
441,6,6
9,0,4
243,1,4
9,2,3
27,0,4
3,2,4
81,2,3
1,2,2
81,4,4
5103,2,5
5103,5,4
83349,4,7
243,3,6
9,1,1
2187,2,6
7,0,4
27,1,2
5103,2,4
7,0,2
81,4,4
27,0,2
63,4,5
3,3,2
9,0,1
3,0,2
81,1,4
3,0,2
3,2,1
21,1,2
3,0,2
3,1,1
9,0,3
243,0,3
2187,2,6
9,4,5
729,2,4
45927,2,6
81,0,2
27,0,2
81,1,4
81,4,4
567,4,5
7203,2,3
441,5,6
9,0,3
9,0,2
567,4,6
3,2,2
243,1,4
2187,0,7
27,4,6
27,2,3
9,0,1
81,3,6
3,1,1
3,1,3
9,2,5
81,0,5
441,7,7
9,1,1
81,2,4
1,2,3
189,2,3
7,1,5
3,0,1
5103,3,4
81,1,3
45927,2,6
1,2,2
27,1,2
81,3,5
1701,4,6
21,2,3
81,3,4
567,4,5
1323,7,5
3,1,3
81,0,5
189,4,5
27,0,3
1,0,3
729,3,6
1701,1,5
1701,6,5
9,1,3
9,2,2
189,2,3
27,4,4
15309,4,6
81,2,6
729,2,5
1,0,0
2187,1,6
27,2,3
9,2,3
3,0,2
81,3,4
135,2,4
27,2,3
3,1,2
1701,4,4
3,2,1
81,0,3
9,2,2
1,2,3
21609,2,4
9,0,3
9,0,3
194481,3,6
567,2,5
3,2,4
81,1,4
583443,5,5
27,1,2
9,3,2
3,0,3
9,2,3
694575,5,7
5103,3,4
